id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
10210,14.0,120.0,843.0,62.0,1740.142857142857,0.0,0.0,16.76528942857143,0.4477857142857143,89.20064285714285,37.59050092857143,86.0,0.0,64.0,877.0,32.285714285714285,64425.0,58312.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,1,1,60,8,1.7.0-twitch.1-rc.1
10211,5.0,120.0,463.0,118.0,4094.5,0.0,0.0,28.98704609090909,12.519181818181817,107.61286363636364,38.76043754545455,155.0,0.0,64.0,1061.0,28.5,64298.86363636364,61994.181818181816,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,10,1.7.0-twitch.1-rc.1
10212,7.0,120.0,337.0,61.0,3149.3333333333335,0.0,0.0,22.08365175,0.46741666666666665,116.23758333333335,49.35843033333333,79.0,0.0,64.0,847.1666666666666,34.25,64347.916666666664,61909.083333333336,0.0,0.0,0.0,0.0,0.0,0.0,2,2,100,9,1.7.0-twitch.1-rc.1
10213,9.0,120.0,933.0,133.0,3370.346153846154,0.0,0.0,20.52077653846154,0.4931538461538461,112.49276923076923,46.570817346153845,182.0,0.0,64.0,1064.076923076923,47.96153846153846,64389.42307692308,60808.96153846154,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,10,1.7.0-twitch.1-rc.1
10214,11.0,120.0,772.0,67.0,1432.25,0.0,0.0,40.4872166875,0.451125,210.449375,90.80217387500001,94.0,0.0,64.0,712.5,32.5625,64401.875,61614.75,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,8,1.7.0-twitch.1-rc.1
10215,14.0,120.0,176.0,34.0,1215.3,0.0,0.0,49.1946166,26.3371,144.7099,51.5113739,51.0,0.0,64.0,759.9,23.7,64240.0,62366.1,0.0,0.0,0.0,0.0,0.0,0.0,1,2,71,9,1.7.0-twitch.1-rc.1
10216,5.0,120.0,216.0,44.0,1193.6923076923076,0.0,0.0,31.069673538461537,0.5201538461538462,123.83223076923076,47.15572061538462,67.0,0.0,64.0,707.0769230769231,38.92307692307692,64240.0,61730.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,1,2,13,8,1.7.0-twitch.1-rc.1
10217,7.0,120.0,182.0,38.0,1378.2,0.0,0.0,25.2571902,0.43390000000000006,127.7884,55.9322219,55.0,0.0,64.0,811.8,36.3,64240.0,61527.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,121,7,1.7.0-twitch.1-rc.1
10218,9.0,120.0,795.0,87.0,3868.4,0.0,0.0,21.237592266666663,0.512,117.9138,48.512801933333336,114.0,0.0,64.0,851.0666666666667,32.666666666666664,64499.0,60584.53333333333,0.0,0.0,0.0,0.0,0.0,0.0,3,2,23,9,1.7.0-twitch.1-rc.1
10219,11.0,120.0,463.0,46.0,1559.4545454545455,0.0,0.0,23.68304363636364,0.4774545454545454,122.67263636363637,52.76546918181818,65.0,0.0,64.0,792.7272727272727,35.18181818181818,64357.72727272727,60233.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,10,1.7.0-twitch.1-rc.1
10220,14.0,120.0,1133.0,142.0,9173.066666666668,0.0,0.0,11.815849133333334,0.39446666666666663,71.70913333333333,27.476088866666665,169.0,0.0,64.0,1023.0666666666667,31.266666666666666,64585.333333333336,58083.53333333333,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,9,1.7.0-twitch.1-rc.1
10221,5.0,120.0,506.0,43.0,1746.2,0.0,0.0,40.4195558,26.1856,103.1922,32.6684169,59.0,0.0,64.0,761.3,32.5,64369.5,58578.6,0.0,0.0,0.0,0.0,0.0,0.0,1,2,47,8,1.7.0-twitch.1-rc.1
10222,7.0,120.0,775.0,123.0,3314.75,0.0,0.0,16.72031554166667,0.437375,91.08774999999999,38.028347583333336,139.0,0.0,64.0,1135.625,29.125,64401.875,59595.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,5,1.7.0-twitch.1-rc.1
10223,9.0,120.0,777.0,78.0,3033.0,0.0,0.0,20.335198066666667,0.4646,108.7364,45.95991,90.0,0.0,64.0,886.2,25.866666666666667,64585.333333333336,59038.86666666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,178,8,1.7.0-twitch.1-rc.1
10224,11.0,120.0,601.0,54.0,1683.75,0.0,0.0,21.44167566666667,0.4053333333333333,117.11349999999999,48.847077000000006,75.0,0.0,64.0,786.4166666666666,34.25,64455.833333333336,61060.416666666664,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,9,1.7.0-twitch.1-rc.1
10225,14.0,120.0,460.0,47.0,1788.6,0.0,0.0,20.9669676,0.42590000000000006,112.69210000000001,47.3279031,65.0,0.0,64.0,827.2,26.1,64369.5,62095.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,8,1.7.0-twitch.1-rc.1
10226,5.0,120.0,557.0,56.0,1619.5384615384614,0.0,0.0,17.757979076923075,0.4136923076923077,95.77053846153846,40.285837230769225,79.0,0.0,64.0,787.2307692307693,32.92307692307692,64439.230769230766,57713.692307692305,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,9,1.7.0-twitch.1-rc.1
10227,7.0,120.0,671.0,63.0,1759.0,0.0,0.0,19.281680357142857,0.411,104.28635714285714,43.75129242857143,87.0,0.0,64.0,857.1428571428571,32.785714285714285,64425.0,62524.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,8,1.7.0-twitch.1-rc.1
10228,9.0,120.0,785.0,140.0,8064.176470588235,0.0,0.0,29.47668005882353,15.630647058823529,96.87558823529412,32.74756523529412,168.0,0.0,64.0,985.0588235294117,29.41176470588235,64392.35294117647,61482.882352941175,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,9,1.7.0-twitch.1-rc.1
10229,11.0,120.0,772.0,55.0,1628.3076923076924,0.0,0.0,40.51701046153846,21.121153846153845,123.50576923076923,44.017274538461535,77.0,0.0,64.0,714.1538461538462,31.615384615384617,64439.230769230766,61326.846153846156,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,9,1.7.0-twitch.1-rc.1
10230,14.0,120.0,477.0,118.0,4882.5,0.0,0.0,15.302378999999998,0.49295,77.8245,33.566407,110.0,0.0,64.0,1268.1,24.7,64369.5,61798.05,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,10,1.7.0-twitch.1-rc.1
10231,5.0,120.0,3113.0,130.0,7458.5625,0.0,0.0,22.596089875,0.4075625,116.67525,50.207267,106.0,0.0,64.0,896.0,38.0625,64644.6875,58837.6875,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,6,1.7.0-twitch.1-rc.1
10232,7.0,120.0,747.0,78.0,2579.6875,0.0,0.0,18.46286775,0.4219375,99.5624375,41.719032125,105.0,0.0,64.0,829.5,31.6875,64482.8125,57808.4375,0.0,0.0,0.0,0.0,0.0,0.0,2,2,197,5,1.7.0-twitch.1-rc.1
