id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
1970,3.5,60.0,10.0,4.0,2403.0,0.0,0.0,16.093348,15.663,16.561,0.463558,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,4,1.7.0-twitch.1-rc.1
1971,4.5,60.0,12.0,4.0,2325.0,0.0,0.0,16.669083,15.602,19.007,1.585615,4.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,3,1.7.0-twitch.1-rc.1
1972,5.5,60.0,10.0,4.0,2417.0,0.0,0.0,16.422839,15.241,18.526,1.45281,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,4,1.7.0-twitch.1-rc.1
1974,2.5,60.0,40.0,12.0,2970.3333333333335,3.0,89.0,55.007178,53.73733333333334,56.912000000000006,1.4088136666666664,11.0,0.0,64.0,987.0,82.33333333333333,72874.66666666667,58709.333333333336,3.0,0.0,0.0,0.0,0.0,0.0,1,2,0,5,1.7.0-twitch.1-rc.1
1975,3.5,60.0,11.0,4.0,2406.0,0.0,0.0,15.337367,14.573,15.764,0.5553,4.0,0.0,64.0,1448.0,80.0,64256.0,59520.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5,6,1.7.0-twitch.1-rc.1
1976,4.5,60.0,10.0,4.0,2410.0,0.0,0.0,16.80908,14.715,19.927,2.244338,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,2,1.7.0-twitch.1-rc.1
1977,5.5,60.0,12.0,4.0,2319.0,0.0,0.0,16.389872,15.254,18.344,1.269362,5.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,59,7,1.7.0-twitch.1-rc.1
1979,2.5,60.0,24.0,8.0,1874.5,0.0,0.0,15.875542500000002,14.967,17.1,0.823024,10.0,0.0,64.0,1001.5,52.0,64256.0,59584.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,5,1.7.0-twitch.1-rc.1
1980,3.5,60.0,12.0,4.0,2325.0,0.0,0.0,16.602835,15.725,18.28,1.142472,4.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,5,1.7.0-twitch.1-rc.1
1981,4.5,60.0,11.0,4.0,2406.0,0.0,0.0,15.680608,14.837,16.584,0.725802,4.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,4,8,1.7.0-twitch.1-rc.1
1982,5.5,60.0,10.0,4.0,2412.0,0.0,0.0,15.944851,15.575,16.376,0.350932,4.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1.7.0-twitch.1-rc.1
1984,2.5,60.0,10.0,4.0,2405.0,0.0,0.0,15.419115,14.864,15.799,0.457833,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,7,1.7.0-twitch.1-rc.1
1985,3.5,60.0,10.0,4.0,2404.0,0.0,0.0,16.033099,15.494,16.651,0.480718,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,6,1.7.0-twitch.1-rc.1
1986,4.5,60.0,12.0,4.0,2315.0,0.0,0.0,16.079098,15.087,18.235,1.460201,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,1.7.0-twitch.1-rc.1
1987,5.5,60.0,10.0,4.0,2403.0,0.0,0.0,16.38059,15.317,17.164,0.891884,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,14,6,1.7.0-twitch.1-rc.1
1988,1.25,60.0,2180.0,98.0,10021.166666666666,11.0,441.0,65.86088866666667,61.11483333333334,74.671,5.802599166666667,60.0,0.0,64.0,921.5,59.5,219178.66666666666,59712.0,9.0,0.0,0.0,0.0,0.0,0.0,1,2,0,3,1.7.0-twitch.1-rc.1
1990,3.5,60.0,10.0,4.0,2406.0,0.0,0.0,16.172096,15.166,18.46,1.53474,4.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,17,5,1.7.0-twitch.1-rc.1
1991,4.5,60.0,10.0,4.0,2413.0,0.0,0.0,15.908602,15.22,16.623,0.589817,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,1.7.0-twitch.1-rc.1
1992,5.5,60.0,13.0,4.0,2319.0,0.0,0.0,16.132847,14.992,18.008,1.312835,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,5,1.7.0-twitch.1-rc.1
1993,1.25,60.0,43.0,11.0,705.6,10.0,268.0,100.43245920000001,100.1928,100.6422,0.0778688,11.0,0.0,64.0,461.8,188.2,64256.0,62768.0,9.0,0.0,0.0,0.0,0.0,0.0,0,2,0,6,1.7.0-twitch.1-rc.1
1995,3.5,60.0,12.0,4.0,2318.0,0.0,0.0,16.289093,15.367,17.717,1.041525,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,1,1.7.0-twitch.1-rc.1
1996,4.5,60.0,86.0,34.0,21212.0,0.0,0.0,18.0673965,15.4455,20.2655,1.331096,34.0,0.0,64.0,1427.0,80.0,64256.0,55424.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,5,1.7.0-twitch.1-rc.1
1997,5.5,60.0,10.0,4.0,2402.0,0.0,0.0,16.452089,15.743,18.385,1.289379,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,55,3,1.7.0-twitch.1-rc.1
